timestamp,pid,rss_mb,vsz_mb,cpu_pct,mem_pct,sys_total_mb,sys_used_mb,sys_free_mb
2026-04-28 03:38:41,2671,333.7,20358.1,375,0.0,515002,19289,417167
2026-04-28 03:38:46,2671,334.1,20435.5,201,0.0,515002,19333,417123
2026-04-28 03:38:51,2671,359.3,20461.8,140,0.0,515002,19236,417273
2026-04-28 03:38:56,2671,377.3,20475.2,109,0.0,515002,18753,417754
2026-04-28 03:39:01,2671,378.1,20979.3,87.8,0.0,515002,18877,417510
2026-04-28 03:39:06,2671,379.4,21076.0,73.7,0.0,515002,18826,417514
2026-04-28 03:39:11,2671,9378.1,40502.3,97.9,1.8,515002,28055,408312
2026-04-28 03:39:16,2671,12143.1,43471.2,102,2.3,515002,30976,405368
2026-04-28 03:39:21,2671,12143.1,43471.2,91.1,2.3,515002,31238,405054
2026-04-28 03:39:26,2671,11113.9,41978.8,87.1,2.1,515002,30202,406090
2026-04-28 03:39:31,2671,48064.9,109208.0,88.3,9.3,515002,67320,368972
2026-04-28 03:39:36,2671,87565.8,142864.4,89.2,17.0,515002,106918,329411
2026-04-28 03:39:41,2671,44686.9,75551.5,105,8.6,515002,64043,372307
2026-04-28 03:39:46,2671,78628.0,109832.8,120,15.2,515002,97792,338557
2026-04-28 03:39:51,2671,78628.0,109832.8,165,15.2,515002,97783,338567
2026-04-28 03:39:56,2671,78628.0,109832.8,205,15.2,515002,97656,338748
2026-04-28 03:40:01,2671,78628.0,109832.8,240,15.2,515002,97233,339130
2026-04-28 03:40:06,2671,112284.5,143489.3,238,21.8,515002,131045,305192
2026-04-28 03:40:12,2671,112284.5,143489.3,231,21.8,515002,131041,305307
2026-04-28 03:40:17,2671,78628.0,109832.8,247,15.2,515002,97753,338594
2026-04-28 03:40:22,2671,78628.0,109832.8,271,15.2,515002,97860,338432
2026-04-28 03:40:27,2671,78628.0,109832.8,294,15.2,515002,97907,338385
2026-04-28 03:40:32,2671,78628.0,109832.8,316,15.2,515002,97870,338422
2026-04-28 03:40:37,2671,78628.0,109832.8,336,15.2,515002,97848,338444
2026-04-28 03:40:42,2671,78628.0,109832.8,354,15.2,515002,97913,338437
2026-04-28 03:40:47,2671,78628.0,109832.8,371,15.2,515002,97887,338463
2026-04-28 03:40:52,2671,78628.0,109832.8,387,15.2,515002,97864,338485
2026-04-28 03:40:57,2671,78628.0,109832.8,402,15.2,515002,97741,338661
2026-04-28 03:41:02,2671,78628.0,109832.8,415,15.2,515002,97245,339157
2026-04-28 03:41:07,2671,78628.0,109832.8,428,15.2,515002,97393,338849
2026-04-28 03:41:12,2671,78628.0,109832.8,440,15.2,515002,97362,338983
2026-04-28 03:41:17,2671,78628.0,109832.8,451,15.2,515002,97618,338728
2026-04-28 03:41:22,2671,78628.0,109832.8,462,15.2,515002,97800,338490
2026-04-28 03:41:27,2671,78628.0,109832.8,472,15.2,515002,97855,338435
2026-04-28 03:41:32,2671,78628.0,109832.8,481,15.2,515002,97830,338460
2026-04-28 03:41:37,2671,78628.0,109832.8,490,15.2,515002,97826,338464
2026-04-28 03:41:42,2671,78628.0,109832.8,498,15.2,515002,97917,338431
2026-04-28 03:41:47,2671,78628.0,109832.8,506,15.2,515002,97905,338443
2026-04-28 03:41:52,2671,78628.0,109832.8,513,15.2,515002,97896,338451
2026-04-28 03:41:57,2671,78628.0,109832.8,520,15.2,515002,97790,338612
2026-04-28 03:42:02,2671,78628.0,109832.8,527,15.2,515002,97291,339109
2026-04-28 03:42:07,2671,78628.0,109832.8,534,15.2,515002,97390,338896
2026-04-28 03:42:12,2671,78628.0,109832.8,540,15.2,515002,97416,338819
2026-04-28 03:42:17,2671,78628.0,109832.8,546,15.2,515002,97575,338770
2026-04-28 03:42:22,2671,78628.0,109832.8,551,15.2,515002,97742,338582
2026-04-28 03:42:27,2671,78628.0,109832.8,557,15.2,515002,97933,338356
2026-04-28 03:42:32,2671,78628.0,109832.8,562,15.2,515002,97922,338367
2026-04-28 03:42:37,2671,78628.0,109832.8,567,15.2,515002,97921,338369
2026-04-28 03:42:42,2671,78628.0,109832.8,571,15.2,515002,98009,338282
2026-04-28 03:42:47,2671,78628.0,109832.8,576,15.2,515002,97951,338396
2026-04-28 03:42:52,2671,78628.0,109832.8,580,15.2,515002,97929,338418
2026-04-28 03:42:57,2671,78628.0,109832.8,585,15.2,515002,97912,338434
2026-04-28 03:43:02,2671,78628.0,109832.8,589,15.2,515002,97690,338710
2026-04-28 03:43:07,2671,78628.0,109832.8,593,15.2,515002,97367,338923
2026-04-28 03:43:12,2671,78628.0,109832.8,596,15.2,515002,97341,338893
2026-04-28 03:43:18,2671,78628.0,109832.8,600,15.2,515002,97505,338839
2026-04-28 03:43:23,2671,78628.0,109832.8,603,15.2,515002,97707,338637
2026-04-28 03:43:28,2671,78628.0,109832.8,607,15.2,515002,97908,338380
2026-04-28 03:43:33,2671,78628.0,109832.8,608,15.2,515002,97888,338400
2026-04-28 03:43:38,2671,78628.0,109832.8,611,15.2,515002,97891,338397
2026-04-28 03:43:43,2671,78628.0,109832.8,614,15.2,515002,97865,338476
2026-04-28 03:43:48,2671,78628.0,109832.8,617,15.2,515002,97919,338426
2026-04-28 03:43:53,2671,78628.0,109832.8,620,15.2,515002,97912,338434
2026-04-28 03:43:58,2671,78628.0,109832.8,623,15.2,515002,97916,338429
2026-04-28 03:44:03,2671,78628.0,109832.8,626,15.2,515002,97791,338610
2026-04-28 03:44:08,2671,78628.0,109832.8,628,15.2,515002,97300,339098
2026-04-28 03:44:13,2671,78628.0,109832.8,631,15.2,515002,97357,338892
2026-04-28 03:44:18,2671,78628.0,109832.8,633,15.2,515002,97353,338879
2026-04-28 03:44:23,2671,78628.0,109832.8,636,15.2,515002,97647,338694
2026-04-28 03:44:28,2671,78628.0,109832.8,638,15.2,515002,97880,338406
2026-04-28 03:44:33,2671,78628.0,109832.8,640,15.2,515002,97849,338437
2026-04-28 03:44:38,2671,78628.0,109832.8,642,15.2,515002,97826,338460
2026-04-28 03:44:43,2671,78628.0,109832.8,644,15.2,515002,97780,338506
2026-04-28 03:44:48,2671,78628.0,109832.8,647,15.2,515002,97864,338480
2026-04-28 03:44:53,2671,78628.0,109832.8,649,15.2,515002,97834,338510
2026-04-28 03:44:58,2671,78628.0,109832.8,651,15.2,515002,97818,338526
2026-04-28 03:45:03,2671,78628.0,109832.8,652,15.2,515002,97682,338716
2026-04-28 03:45:08,2671,78628.0,109832.8,654,15.2,515002,97202,339195
2026-04-28 03:45:13,2671,78628.0,109832.8,656,15.2,515002,97308,338995
2026-04-28 03:45:18,2671,78628.0,109832.8,658,15.2,515002,97261,338971
2026-04-28 03:45:23,2671,78628.0,109832.8,660,15.2,515002,97261,339080
2026-04-28 03:45:28,2671,78628.0,109832.8,661,15.2,515002,97600,338741
2026-04-28 03:45:33,2671,78628.0,109832.8,663,15.2,515002,97839,338447
2026-04-28 03:45:38,2671,78628.0,109832.8,665,15.2,515002,97829,338457
2026-04-28 03:45:43,2671,78628.0,109832.8,666,15.2,515002,97814,338472
2026-04-28 03:45:48,2671,78628.0,109832.8,668,15.2,515002,97810,338501
2026-04-28 03:45:53,2671,78628.0,109832.8,669,15.2,515002,97861,338483
2026-04-28 03:45:58,2671,78628.0,109832.8,671,15.2,515002,97866,338477
2026-04-28 03:46:03,2671,78628.0,109832.8,672,15.2,515002,97858,338485
2026-04-28 03:46:08,2671,78628.0,109832.8,674,15.2,515002,97739,338657
2026-04-28 03:46:13,2671,78628.0,109832.8,675,15.2,515002,97224,339172
2026-04-28 03:46:18,2671,78628.0,109832.8,676,15.2,515002,97313,338932
2026-04-28 03:46:23,2671,78628.0,109832.8,678,15.2,515002,97352,338988
2026-04-28 03:46:28,2671,78628.0,109832.8,679,15.2,515002,97632,338708
2026-04-28 03:46:34,2671,78628.0,109832.8,680,15.2,515002,97684,338616
2026-04-28 03:46:39,2671,78628.0,109832.8,681,15.2,515002,97785,338500
2026-04-28 03:46:44,2671,78628.0,109832.8,683,15.2,515002,97759,338525
2026-04-28 03:46:49,2671,78628.0,109832.8,682,15.2,515002,97752,338533
2026-04-28 03:46:54,2671,78628.0,109832.8,684,15.2,515002,97831,338516
2026-04-28 03:46:59,2671,78628.0,109832.8,685,15.2,515002,97785,338563
2026-04-28 03:47:04,2671,78628.0,109832.8,686,15.2,515002,97768,338580
2026-04-28 03:47:09,2671,78628.0,109832.8,687,15.2,515002,97750,338597
2026-04-28 03:47:14,2671,78628.0,109832.8,688,15.2,515002,97644,338755
2026-04-28 03:47:19,2671,78628.0,109832.8,689,15.2,515002,97157,339242
2026-04-28 03:47:24,2671,78628.0,109832.8,690,15.2,515002,97314,338919
2026-04-28 03:47:29,2671,78628.0,109832.8,691,15.2,515002,97342,339001
2026-04-28 03:47:34,2671,78628.0,109832.8,692,15.2,515002,97657,338686
2026-04-28 03:47:39,2671,78628.0,109832.8,693,15.2,515002,97778,338509
2026-04-28 03:47:44,2671,78628.0,109832.8,694,15.2,515002,97754,338534
2026-04-28 03:47:49,2671,78628.0,109832.8,695,15.2,515002,97752,338536
2026-04-28 03:47:54,2671,78628.0,109832.8,696,15.2,515002,97735,338604
2026-04-28 03:47:59,2671,78628.0,109832.8,697,15.2,515002,97804,338541
2026-04-28 03:48:04,2671,78628.0,109832.8,698,15.2,515002,97791,338554
2026-04-28 03:48:09,2671,78628.0,109832.8,699,15.2,515002,97775,338570
2026-04-28 03:48:14,2671,78628.0,109832.8,700,15.2,515002,97647,338752
2026-04-28 03:48:19,2671,78628.0,109832.8,700,15.2,515002,97151,339247
2026-04-28 03:48:24,2671,78628.0,109832.8,701,15.2,515002,97284,338972
