timestamp,pid,rss_mb,vsz_mb,cpu_pct,mem_pct,sys_total_mb,sys_used_mb,sys_free_mb
2026-04-28 05:09:23,1896,360.8,20358.1,244,0.0,515002,19405,416930
2026-04-28 05:09:28,1896,372.1,20479.6,158,0.0,515002,19414,416965
2026-04-28 05:09:33,1896,379.5,20469.1,121,0.0,515002,19506,416885
2026-04-28 05:09:38,1896,386.2,20835.2,95.3,0.0,515002,19506,416884
2026-04-28 05:09:43,1896,387.1,20836.0,78.6,0.0,515002,19488,416901
2026-04-28 05:09:48,1896,3733.5,30765.2,78.2,0.7,515002,22869,413493
2026-04-28 05:09:53,1896,11958.4,48664.7,101,2.3,515002,31219,405121
2026-04-28 05:09:58,1896,11390.9,47532.5,100,2.2,515002,30638,405702
2026-04-28 05:10:03,1896,39167.9,108423.3,100,7.6,515002,58167,378173
2026-04-28 05:10:08,1896,72294.3,108461.3,100,14.0,515002,91164,345010
2026-04-28 05:10:13,1896,94730.9,142702.6,100,18.3,515002,113874,322409
2026-04-28 05:10:18,1896,133580.0,190380.2,100,25.9,515002,153124,283135
2026-04-28 05:10:23,1896,58884.2,95025.1,100,11.4,515002,78495,357733
2026-04-28 05:10:28,1896,58884.2,95025.1,100,11.4,515002,78485,357743
2026-04-28 05:10:33,1896,58884.2,95025.1,100,11.4,515002,78450,357778
2026-04-28 05:10:38,1896,58884.2,95025.1,100,11.4,515002,78543,357685
2026-04-28 05:10:43,1896,106803.5,142944.5,100,20.7,515002,126281,310010
2026-04-28 05:10:48,1896,106803.5,142944.5,100,20.7,515002,126261,310029
2026-04-28 05:10:53,1896,106803.5,142944.5,100,20.7,515002,126256,310035
2026-04-28 05:10:58,1896,106803.5,142944.5,100,20.7,515002,126059,310284
2026-04-28 05:11:04,1896,106803.5,142944.5,100,20.7,515002,125683,310661
2026-04-28 05:11:09,1896,106803.5,142944.5,100,20.7,515002,125729,310452
2026-04-28 05:11:14,1896,106803.5,142944.5,99.2,20.7,515002,125753,310424
2026-04-28 05:11:19,1896,106803.5,142944.5,99.2,20.7,515002,125819,310468
2026-04-28 05:11:24,1896,106803.5,142944.5,99.2,20.7,515002,126146,310101
2026-04-28 05:11:29,1896,106803.5,142944.5,99.2,20.7,515002,126289,309943
2026-04-28 05:11:34,1896,106803.5,142944.5,99.3,20.7,515002,126278,309954
2026-04-28 05:11:39,1896,106803.5,142944.5,99.3,20.7,515002,126237,309995
2026-04-28 05:11:44,1896,106803.5,142944.5,99.3,20.7,515002,126248,310042
2026-04-28 05:11:49,1896,106803.5,142944.5,99.3,20.7,515002,126219,310071
